source_text,translated_text,context
Custom user permissions saved,Đã lưu quyền riêng cho user,
Customer,Khách hàng,
Customer Group,Nhóm khách hàng,
Customer Support,CSKH,
Customers,Khách hàng,
DCNET Permission,Phân quyền DCNET,
DCNET Permission - Department Permissions,DCNET Permission - Phân quyền phòng ban,
Default,Mặc định,
Default Password,Mật khẩu mặc định,
Delete,Xóa,
Delivery,Giao hàng,
Delivery Note,Phiếu giao hàng,
Department,Phòng ban,
Department Permission Manager,Quản lý phân quyền phòng ban,
Department Permissions,Phân quyền phòng ban,
Department-based Permissions,Phân quyền theo phòng ban,
Department-scoped user and role delegation for DCNET Flow,Phân quyền user/role theo phòng ban cho DCNET Flow,
Departments,Phòng ban,
Designation,Chức vụ,
Disable,Khóa,
Disable user {0}?,Khóa user {0}?,
Disabled,Đã khóa,
Edit,Sửa,
Edit Permissions,Sửa quyền,
Edit Permissions: {0},Sửa quyền: {0},
Edit User,Sửa user,
Employee,Nhân viên,
Employee Advance,Tạm ứng nhân viên,
Employee Checkin,Check-in nhân viên,
Employee Expenses,Chi phí nhân sự,
Employee Grade,Cấp bậc nhân viên,
Employee Lifecycle,Vòng đời nhân sự,
Employee Onboarding,Tiếp nhận nhân viên,
Employee Promotion,Thăng chức nhân viên,
Employee Separation,Nghỉ việc,
Employee Transfer,Điều chuyển nhân viên,
Employment Type,Loại hình nhân sự,
Enabled,Bật,
Expense Claim,Đề nghị thanh toán chi phí,
Export,Xuất,
Extra Permission Profiles,Danh mục quyền bổ sung,
First Name,Tên,
GL Entry,Sổ cái,
Holiday List,Lịch nghỉ,
HR - Attendance,Nhân sự - Chấm công,
HR Reports,Báo cáo nhân sự,
Issue,Yêu cầu hỗ trợ,
Item,Sản phẩm,
Item Price,Giá sản phẩm,
Journal Entry,Bút toán kế toán,
Last Name,Họ,
Leave,Nghỉ phép,
Leave Allocation,Cấp phát nghỉ phép,
Leave Application,Đơn nghỉ phép,
Leave Ledger Entry,Sổ nghỉ phép,
Leave Period,Kỳ nghỉ phép,
Leave Policy,Chính sách nghỉ phép,
Leave Policy Assignment,Gán chính sách nghỉ phép,
Leave Type,Loại nghỉ phép,
Maintenance Schedule,Lịch bảo trì,
Maintenance Visit,Lần bảo trì,
Managed Scope,Phạm vi quản lý,
Managed Users,User quản lý,
Manager Role,Role quản lý,
Manager User,User quản lý,
Material Request,Yêu cầu vật tư,
Module,Phân hệ,
No Base Permissions,Chưa có quyền nền,
No Data,Không có dữ liệu,
No Department records found.,Chưa có Department trong danh mục.,
No department scope is assigned to you.,Bạn chưa được gán phạm vi phòng ban.,
No Departments,Chưa có phòng ban,
No Matching Users,Chưa có user phù hợp,
No Permission Catalog,Chưa có danh mục quyền,
No scoped roles,Chưa có role trong phạm vi,
Not Configured,Chưa cấu hình,
Notes,Ghi chú,
Opportunity,Cơ hội bán hàng,
Organization & Employees,Tổ chức & nhân viên,
Overview,Tổng quan,
Password Reset Required,Chờ đổi mật khẩu,
Payment Entry,Phiếu thu/chi,
Payment Term,Kỳ hạn thanh toán,
Payment Terms Template,Điều khoản thanh toán,
Permission Admin,Quản trị phân quyền,
Permission Items,Quyền nghiệp vụ,
Permission Manager,Quản lý phân quyền,
Permission Profile,Danh mục quyền,
Permission Scope,Cấu hình phạm vi,
Price List,Bảng giá,
Print,In,
Products & Pricing,Sản phẩm & giá,
profiles,danh mục,
Project,Dự án,
Project Reports,Báo cáo dự án,
Projects,Dự án,
Purchase Invoice,Hóa đơn mua hàng,
Purchase Order,Đơn mua hàng,
Purchase Receipt,Phiếu nhập mua,
Quotation,Báo giá,
Read,Xem,
Refresh,Làm mới,
Report,Báo cáo,
Request for Quotation,Yêu cầu báo giá,
Role,Vai trò,
roles,role,
Roles,Role,
Sales,Bán hàng,
Sales & Receivables,Bán hàng & công nợ phải thu,
Sales Invoice,Hóa đơn bán hàng,
Sales Order,Đơn bán hàng,
Sales Partner,Đối tác bán hàng,
Sales Person,Nhân viên bán hàng,
Save Changes,Lưu thay đổi,
Save Permissions,Lưu quyền,
Saving user permissions...,Đang lưu quyền user...,
Saving user...,Đang lưu user...,
Scope Name,Tên phạm vi,
Scope not configured,Chưa cấu hình scope,
Scope Not Configured,Chưa cấu hình scope,
"Search user, email, role","Tìm user, email, role",
Selling Reports,Báo cáo bán hàng,
Selling Setup,Thiết lập bán hàng,
Shift Type,Ca làm việc,
Status,Trạng thái,
Stock,Kho,
Stock Entry,Phiếu kho,
Stock Ledger,Sổ kho,
Stock Ledger Entry,Sổ kho,
Stock Movement,Nhập xuất kho,
Stock Reconciliation,Kiểm kê kho,
Stock Reports,Báo cáo kho,
Stock Settings,Cài đặt kho,
Stock Setup,Thiết lập kho,
Submit,Ghi sổ,
Supplier,Nhà cung cấp,
Supplier Group,Nhóm nhà cung cấp,
Supplier Quotation,Báo giá nhà cung cấp,
Suppliers,Nhà cung cấp,
Support,CSKH,
Support Reports,Báo cáo CSKH,
Task,Công việc,
Territory,Khu vực,
This department exists but has no DCNET Permission Scope for role assignment.,Phòng ban này có trong danh mục Department nhưng chưa có DCNET Permission Scope để gán role.,
This department has no assignable roles.,Phòng ban này chưa có role được phép gán.,
This department has no business permission catalog configured.,Phòng ban này chưa được cấu hình danh mục quyền nghiệp vụ.,
Timesheet,Bảng chấm giờ,
ToDo,Việc cần làm,
User disabled,Đã khóa user,
User must change password on first login.,User sẽ được yêu cầu đổi mật khẩu khi đăng nhập lần đầu.,
User saved,Đã lưu user,
Vietnam Accounting Reports,Báo cáo kế toán Việt Nam,
VN Accounting Settings,Cài đặt kế toán Việt Nam,
Warehouse,Kho,
Warranty Claim,Bảo hành,
Write,Sửa,
