"Insurance Type","Loại bảo hiểm"
"Employee %","% NLĐ"
"Employer %","% DN"
"Base Salary (Lương Cơ Sở)","Lương cơ sở"
"Minimum Wage — Region I","Lương tối thiểu vùng I"
"Minimum Wage — Region II","Lương tối thiểu vùng II"
"Minimum Wage — Region III","Lương tối thiểu vùng III"
"Minimum Wage — Region IV","Lương tối thiểu vùng IV"
"Relationship","Quan hệ với NLĐ"
"Child","Con"
"Spouse","Vợ/Chồng"
"Parent","Cha/Mẹ"
"Other","Khác"
"Registration Status","Tình trạng đăng ký"
"Registered","Đã đăng ký"
"Pending Tax Code","Chờ MST"
"Identification","Thông tin định danh"
"Tax Code","Mã số thuế"
"Deduction Period","Kỳ giảm trừ"
"Deduction From","Giảm trừ từ"
"Deduction To","Giảm trừ đến"
"Deduction To must be on or after Deduction From.","Ngày kết thúc giảm trừ phải sau hoặc bằng ngày bắt đầu giảm trừ."
"No effective {0} record found for date {1}. Please set up the data.","Không tìm thấy {0} có hiệu lực tại ngày {1}. Vui lòng khai báo dữ liệu."
"No submitted Salary Structure Assignment found for {0} as of {1}.","Không tìm thấy Salary Structure Assignment đã submit cho {0} tại ngày {1}."
"Labor Contract","Hợp đồng lao động"
"Insurance Declaration","Báo tăng/giảm/điều chỉnh BHXH"
"PIT Annual Settlement","Quyết toán thuế TNCN năm"
"Contract Number","Số hợp đồng"
"Contract Type","Loại hợp đồng"
"Probation","Thử việc"
"Fixed-term","Xác định thời hạn"
"Indefinite-term","Không xác định thời hạn"
"Start Date","Ngày bắt đầu"
"End Date","Ngày kết thúc"
"Expired","Hết hạn"
"Terminated","Đã chấm dứt"
"Previous Contract (Renewal Of)","Hợp đồng trước (gia hạn từ)"
"Base Salary","Lương cơ bản theo HĐ"
"Allowances","Phụ cấp"
"Override","Ngoại lệ"
"Override Reason","Lý do ngoại lệ"
"Allowance Name","Tên phụ cấp"
"Taxable","Chịu thuế"
"Insurable","Đóng BH"
"Declaration Type","Loại báo cáo"
"New Registration","Tăng mới"
"Termination","Giảm hẳn"
"Unpaid Leave","Nghỉ không lương"
"Maternity Leave","Nghỉ thai sản"
"Rate Adjustment","Điều chỉnh mức đóng"
"Period (Month)","Kỳ báo cáo (Tháng)"
"Old Contribution Salary","Mức đóng cũ"
"New Contribution Salary","Mức đóng mới"
"Effective Date","Ngày hiệu lực"
"Reason","Lý do"
"Export D02-LT","Xuất D02-LT"
"Total Taxable Income","Tổng thu nhập chịu thuế"
"Total Deductions","Tổng giảm trừ"
"Tax Withheld (Monthly Sum)","Thuế đã khấu trừ (tổng các tháng)"
"Annual Tax Payable","Thuế phải nộp cả năm"
"Difference","Chênh lệch"
"Aggregate from Salary Slips","Tổng hợp từ Salary Slip"
"Export 05/QTT-TNCN","Xuất 05/QTT-TNCN"
"Export 05/KK-TNCN","Xuất 05/KK-TNCN"
"Employee {0} already has an Active Labor Contract ({1}) overlapping this period.","Nhân viên {0} đã có Hợp đồng lao động đang Active ({1}) chồng lấp thời gian này."
"This is the {0}th consecutive Fixed-term contract for this employee. Labor law (Điều 20 BLLĐ 2019) requires converting to Indefinite-term after {1} consecutive fixed-term contracts. Fill in Override Reason to proceed anyway.","Đây là hợp đồng Xác định thời hạn liên tiếp lần thứ {0} của nhân viên này. Theo Điều 20 BLLĐ 2019, sau {1} lần liên tiếp phải chuyển sang Không xác định thời hạn. Điền Lý do ngoại lệ nếu muốn tiếp tục."
"Overriding consecutive Fixed-term contract limit: {0}","Đang ghi đè giới hạn số lần ký liên tiếp Xác định thời hạn: {0}"
"Insurance contribution salary changed — draft Insurance Declaration {0} created for review.","Mức lương đóng BH đã thay đổi — đã tạo Insurance Declaration nháp {0} để xem lại."
"Labor Contract {0} ({1}) expires on {2}","Hợp đồng lao động {0} ({1}) hết hạn vào {2}"
"Employee {0} appears more than once in the Employees table.","Nhân viên {0} xuất hiện nhiều hơn 1 lần trong bảng Employees."
"No submitted Salary Slip found for this Fiscal Year/Company.","Không tìm thấy Salary Slip đã submit cho Fiscal Year/Company này."
"Missing the official D02-LT Excel template. Please place the unmodified Vietnam Social Insurance D02-LT.xlsx form at {0} before exporting.","Thiếu file mẫu D02-LT gốc. Vui lòng đặt file Excel D02-LT chính thức (không sửa) của BHXH Việt Nam vào {0} trước khi xuất."
"D02-LT cell mapping has not been confirmed against the official template yet (see dcnet_hrm/export/d02lt.py CELL_MAP). Please confirm cell coordinates before enabling this export.","Toạ độ cell của D02-LT chưa được xác nhận theo file mẫu gốc (xem dcnet_hrm/export/d02lt.py CELL_MAP). Vui lòng xác nhận toạ độ trước khi dùng chức năng xuất này."
"Missing the official 05/QTT-TNCN Excel template (HTKK format). Please place the unmodified form at {0} before exporting.","Thiếu file mẫu 05/QTT-TNCN gốc (định dạng HTKK). Vui lòng đặt file mẫu chính thức (không sửa) vào {0} trước khi xuất."
"05/QTT-TNCN cell mapping has not been confirmed against the official template yet. Please confirm cell coordinates in dcnet_hrm/export/qtt_tncn.py before enabling this export.","Toạ độ cell của 05/QTT-TNCN chưa được xác nhận theo file mẫu gốc. Vui lòng xác nhận toạ độ trong dcnet_hrm/export/qtt_tncn.py trước khi dùng chức năng xuất này."
"Missing the official 05/KK-TNCN Excel template (HTKK format). Please place the unmodified form at {0} before exporting.","Thiếu file mẫu 05/KK-TNCN gốc (định dạng HTKK). Vui lòng đặt file mẫu chính thức (không sửa) vào {0} trước khi xuất."
"05/KK-TNCN cell mapping has not been confirmed against the official template yet. Please confirm cell coordinates in dcnet_hrm/export/kk_tncn.py before enabling this export.","Toạ độ cell của 05/KK-TNCN chưa được xác nhận theo file mẫu gốc. Vui lòng xác nhận toạ độ trong dcnet_hrm/export/kk_tncn.py trước khi dùng chức năng xuất này."
