Account Name,Parent Account,Account Number,Is Group,Account Type,Account Category,Root Type,Tax Rate
2141 - Hao mòn TSCĐ hữu hình,214 - Hao mòn TSCĐ,2141,0,Accumulated Depreciation,,Asset,
2142 - Hao mòn TSCĐ thuê tài chính,214 - Hao mòn TSCĐ,2142,0,Accumulated Depreciation,,Asset,
2143 - Hao mòn TSCĐ vô hình,214 - Hao mòn TSCĐ,2143,0,Accumulated Depreciation,,Asset,
2147 - Hao mòn BĐS đầu tư,214 - Hao mòn TSCĐ,2147,0,Accumulated Depreciation,,Asset,
215 - Tài sản sinh học,Tài sản,215,1,,,Asset,
2151 - Tài sản sinh học trưởng thành,215 - Tài sản sinh học,2151,0,,,Asset,
2152 - Tài sản sinh học chưa trưởng thành,215 - Tài sản sinh học,2152,0,,,Asset,
2153 - Hao mòn tài sản sinh học,215 - Tài sản sinh học,2153,0,,,Asset,
217 - Bất động sản đầu tư,Tài sản,217,0,Fixed Asset,,Asset,
221 - Đầu tư vào công ty con,Tài sản,221,0,,,Asset,
"222 - Đầu tư vào công ty liên doanh, liên kết",Tài sản,222,0,,,Asset,
228 - Đầu tư khác,Tài sản,228,1,,,Asset,
2281 - Đầu tư góp vốn vào đơn vị khác,228 - Đầu tư khác,2281,0,,,Asset,
2288 - Đầu tư khác,228 - Đầu tư khác,2288,0,,,Asset,
229 - Dự phòng tổn thất tài sản,Tài sản,229,1,,,Asset,
2291 - Dự phòng giảm giá chứng khoán kinh doanh,229 - Dự phòng tổn thất tài sản,2291,0,,,Asset,
2292 - Dự phòng tổn thất đầu tư vào đơn vị khác,229 - Dự phòng tổn thất tài sản,2292,0,,,Asset,
2293 - Dự phòng phải thu khó đòi,229 - Dự phòng tổn thất tài sản,2293,0,,,Asset,
2294 - Dự phòng giảm giá hàng tồn kho,229 - Dự phòng tổn thất tài sản,2294,0,,,Asset,
2295 - Dự phòng giảm giá tài sản sinh học,229 - Dự phòng tổn thất tài sản,2295,0,,,Asset,
241 - XDCB dở dang,Tài sản,241,1,,,Asset,
2411 - Mua sắm TSCĐ,241 - XDCB dở dang,2411,0,Capital Work in Progress,,Asset,
2412 - XDCB,241 - XDCB dở dang,2412,0,Capital Work in Progress,,Asset,
2413 - Sửa chữa lớn TSCĐ,241 - XDCB dở dang,2413,0,Capital Work in Progress,,Asset,
2414 - Chi phí trồng cây sinh học chưa trưởng thành,241 - XDCB dở dang,2414,0,Capital Work in Progress,,Asset,
242 - Chi phí chờ phân bổ,Tài sản,242,0,,,Asset,
243 - Tài sản thuế TNDN hoãn lại,Tài sản,243,0,,,Asset,
"244 - Ký quỹ, ký cược",Tài sản,244,0,,,Asset,
Nợ phải trả,,,1,,,Liability,
331 - Phải trả cho người bán,Nợ phải trả,331,0,Payable,,Liability,
"332 - Phải trả cổ tức, lợi nhuận",Nợ phải trả,332,0,,,Liability,
333 - Thuế và các khoản phải nộp NN,Nợ phải trả,333,1,,,Liability,
3331 - Thuế GTGT phải nộp,333 - Thuế và các khoản phải nộp NN,3331,1,,,Liability,
33311 - Thuế GTGT đầu ra,3331 - Thuế GTGT phải nộp,33311,0,Tax,,Liability,
33312 - Thuế GTGT hàng nhập khẩu,3331 - Thuế GTGT phải nộp,33312,0,,,Liability,
3332 - Thuế tiêu thụ đặc biệt,333 - Thuế và các khoản phải nộp NN,3332,0,,,Liability,
3333 - Thuế xuất nhập khẩu,333 - Thuế và các khoản phải nộp NN,3333,0,,,Liability,
3334 - Thuế TNDN,333 - Thuế và các khoản phải nộp NN,3334,0,Tax,,Liability,
3335 - Thuế TNCN,333 - Thuế và các khoản phải nộp NN,3335,0,,,Liability,
3336 - Thuế tài nguyên,333 - Thuế và các khoản phải nộp NN,3336,0,,,Liability,
"3337 - Thuế nhà đất, tiền thuê đất",333 - Thuế và các khoản phải nộp NN,3337,0,,,Liability,
3338 - Các loại thuế khác,333 - Thuế và các khoản phải nộp NN,3338,1,,,Liability,
33381 - Thuế bảo vệ môi trường,3338 - Các loại thuế khác,33381,0,,,Liability,
33382 - Các loại thuế khác,3338 - Các loại thuế khác,33382,0,,,Liability,
"3339 - Phí, lệ phí và các khoản phải nộp khác",333 - Thuế và các khoản phải nộp NN,3339,0,,,Liability,
334 - Phải trả người lao động,Nợ phải trả,334,0,,,Liability,
335 - Chi phí phải trả,Nợ phải trả,335,0,,,Liability,
336 - Phải trả nội bộ,Nợ phải trả,336,1,,,Liability,
3361 - Phải trả nội bộ về vốn kinh doanh,336 - Phải trả nội bộ,3361,0,,,Liability,
3362 - Phải trả nội bộ về chênh lệch tỷ giá,336 - Phải trả nội bộ,3362,0,,,Liability,
3363 - Phải trả nội bộ về chi phí đi vay đủ điều kiện vốn hoá,336 - Phải trả nội bộ,3363,0,,,Liability,
3368 - Phải trả nội bộ khác,336 - Phải trả nội bộ,3368,0,,,Liability,
337 - Thanh toán theo tiến độ hợp đồng XD,Nợ phải trả,337,0,,,Liability,
"338 - Phải trả, phải nộp khác",Nợ phải trả,338,1,,,Liability,
3381 - Tài sản thừa chờ giải quyết,"338 - Phải trả, phải nộp khác",3381,0,,,Liability,
3382 - Kinh phí công đoàn,"338 - Phải trả, phải nộp khác",3382,0,,,Liability,
3383 - Bảo hiểm xã hội,"338 - Phải trả, phải nộp khác",3383,0,,,Liability,
3384 - Bảo hiểm y tế,"338 - Phải trả, phải nộp khác",3384,0,,,Liability,
3386 - Bảo hiểm thất nghiệp,"338 - Phải trả, phải nộp khác",3386,0,,,Liability,
3387 - Doanh thu chưa thực hiện,"338 - Phải trả, phải nộp khác",3387,0,,,Liability,
"3388 - Phải trả, phải nộp khác","338 - Phải trả, phải nộp khác",3388,0,,,Liability,
341 - Vay và nợ thuê tài chính,Nợ phải trả,341,1,,,Liability,
3411 - Các khoản đi vay,341 - Vay và nợ thuê tài chính,3411,0,,,Liability,
3412 - Nợ thuê tài chính,341 - Vay và nợ thuê tài chính,3412,0,,,Liability,
343 - Trái phiếu phát hành,Nợ phải trả,343,1,,,Liability,
3431 - Mệnh giá trái phiếu,343 - Trái phiếu phát hành,3431,0,,,Liability,
3432 - Chiết khấu trái phiếu,343 - Trái phiếu phát hành,3432,0,,,Liability,
3433 - Phụ trội trái phiếu,343 - Trái phiếu phát hành,3433,0,,,Liability,
"344 - Nhận ký quỹ, ký cược",Nợ phải trả,344,0,,,Liability,
347 - Thuế TNDN hoãn lại phải trả,Nợ phải trả,347,0,,,Liability,
352 - Dự phòng phải trả,Nợ phải trả,352,1,,,Liability,
3521 - Dự phòng bảo hành sản phẩm,352 - Dự phòng phải trả,3521,0,,,Liability,
3522 - Dự phòng tái cơ cấu doanh nghiệp,352 - Dự phòng phải trả,3522,0,,,Liability,
3523 - Dự phòng hợp đồng có rủi ro lớn,352 - Dự phòng phải trả,3523,0,,,Liability,
3524 - Dự phòng phải trả khác,352 - Dự phòng phải trả,3524,0,,,Liability,
"353 - Quỹ khen thưởng, phúc lợi",Nợ phải trả,353,1,,,Liability,
3531 - Quỹ khen thưởng,"353 - Quỹ khen thưởng, phúc lợi",3531,0,,,Liability,
3532 - Quỹ phúc lợi,"353 - Quỹ khen thưởng, phúc lợi",3532,0,,,Liability,
3533 - Quỹ thưởng ban quản lý,"353 - Quỹ khen thưởng, phúc lợi",3533,0,,,Liability,
3534 - Quỹ phúc lợi đã hình thành TSCĐ,"353 - Quỹ khen thưởng, phúc lợi",3534,0,,,Liability,
356 - Quỹ phát triển KHCN,Nợ phải trả,356,1,,,Liability,
3561 - Quỹ phát triển KHCN,356 - Quỹ phát triển KHCN,3561,0,,,Liability,
3562 - Quỹ phát triển KHCN đã hình thành TSCĐ,356 - Quỹ phát triển KHCN,3562,0,,,Liability,
357 - Quỹ bình ổn giá,Nợ phải trả,357,0,,,Liability,
Vốn chủ sở hữu,,,1,,,Equity,
411 - Vốn đầu tư của CSH,Vốn chủ sở hữu,411,1,,,Equity,
4111 - Vốn góp của CSH,411 - Vốn đầu tư của CSH,4111,1,,,Equity,
41111 - Cổ phiếu phổ thông có quyền biểu quyết,4111 - Vốn góp của CSH,41111,0,,,Equity,
41112 - Cổ phiếu ưu đãi,4111 - Vốn góp của CSH,41112,0,,,Equity,
4112 - Thặng dư vốn cổ phần,411 - Vốn đầu tư của CSH,4112,0,,,Equity,
4113 - Quyền chọn chuyển đổi trái phiếu,411 - Vốn đầu tư của CSH,4113,0,,,Equity,
4118 - Vốn khác,411 - Vốn đầu tư của CSH,4118,0,,,Equity,
412 - Chênh lệch đánh giá lại tài sản,Vốn chủ sở hữu,412,0,,,Equity,
413 - Chênh lệch tỷ giá hối đoái,Vốn chủ sở hữu,413,0,,,Equity,
414 - Quỹ đầu tư phát triển,Vốn chủ sở hữu,414,0,,,Equity,
418 - Các quỹ khác thuộc VCSH,Vốn chủ sở hữu,418,0,,,Equity,
419 - Cổ phiếu mua lại của chính mình,Vốn chủ sở hữu,419,0,,,Equity,
421 - Lợi nhuận sau thuế CPP,Vốn chủ sở hữu,421,1,,,Equity,
4211 - Lợi nhuận sau thuế chưa phân phối năm trước,421 - Lợi nhuận sau thuế CPP,4211,0,Equity,,Equity,
4212 - Lợi nhuận sau thuế chưa phân phối năm nay,421 - Lợi nhuận sau thuế CPP,4212,0,Equity,,Equity,
Doanh thu,,,1,,,Income,
511 - Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu,511,0,Income Account,,Income,
515 - Doanh thu hoạt động tài chính,Doanh thu,515,0,Income Account,,Income,
521 - Các khoản giảm trừ doanh thu,Doanh thu,521,0,Income Account,,Income,
711 - Thu nhập khác,Doanh thu,711,0,Income Account,,Income,
Chi phí,,,1,,,Expense,
621 - Chi phí nguyên vật liệu trực tiếp,Chi phí,621,0,Expense Account,,Expense,
622 - Chi phí nhân công trực tiếp,Chi phí,622,0,Expense Account,,Expense,
623 - Chi phí sử dụng máy thi công,Chi phí,623,1,,,Expense,
6231 - Chi phí nguyên vật liệu,623 - Chi phí sử dụng máy thi công,6231,0,Expense Account,,Expense,
6232 - Chi phí nhân công,623 - Chi phí sử dụng máy thi công,6232,0,Expense Account,,Expense,
6233 - Chi phí dụng cụ sản xuất,623 - Chi phí sử dụng máy thi công,6233,0,Expense Account,,Expense,
6234 - Chi phí khấu hao máy thi công,623 - Chi phí sử dụng máy thi công,6234,0,Expense Account,,Expense,
6237 - Chi phí dịch vụ mua ngoài,623 - Chi phí sử dụng máy thi công,6237,0,Expense Account,,Expense,
6238 - Chi phí bằng tiền khác,623 - Chi phí sử dụng máy thi công,6238,0,Expense Account,,Expense,
627 - Chi phí sản xuất chung,Chi phí,627,1,,,Expense,
6271 - Chi phí nguyên vật liệu,627 - Chi phí sản xuất chung,6271,0,Expense Account,,Expense,
6272 - Chi phí nhân công,627 - Chi phí sản xuất chung,6272,0,Expense Account,,Expense,
6273 - Chi phí dụng cụ sản xuất,627 - Chi phí sản xuất chung,6273,0,Expense Account,,Expense,
6274 - Chi phí khấu hao TSCĐ,627 - Chi phí sản xuất chung,6274,0,Expense Account,,Expense,
6277 - Chi phí dịch vụ mua ngoài,627 - Chi phí sản xuất chung,6277,0,Expense Account,,Expense,
6278 - Chi phí bằng tiền khác,627 - Chi phí sản xuất chung,6278,0,Expense Account,,Expense,
632 - Giá vốn hàng bán,Chi phí,632,0,Cost of Goods Sold,,Expense,
635 - Chi phí tài chính,Chi phí,635,0,Expense Account,,Expense,
641 - Chi phí bán hàng,Chi phí,641,1,,,Expense,
6411 - Chi phí nhân viên,641 - Chi phí bán hàng,6411,0,Expense Account,,Expense,
"6412 - Chi phí nguyên vật liệu, bao bì",641 - Chi phí bán hàng,6412,0,Expense Account,,Expense,
"6413 - Chi phí dụng cụ, đồ dùng",641 - Chi phí bán hàng,6413,0,Expense Account,,Expense,
6414 - Chi phí khấu hao TSCĐ,641 - Chi phí bán hàng,6414,0,Expense Account,,Expense,
6415 - Chi phí bảo hành,641 - Chi phí bán hàng,6415,0,Expense Account,,Expense,
6417 - Chi phí dịch vụ mua ngoài,641 - Chi phí bán hàng,6417,0,Expense Account,,Expense,
6418 - Chi phí bằng tiền khác,641 - Chi phí bán hàng,6418,0,Expense Account,,Expense,
642 - Chi phí quản lý doanh nghiệp,Chi phí,642,1,,,Expense,
6421 - Chi phí nhân viên quản lý,642 - Chi phí quản lý doanh nghiệp,6421,0,Expense Account,,Expense,
6422 - Chi phí nguyên vật liệu quản lý,642 - Chi phí quản lý doanh nghiệp,6422,0,Expense Account,,Expense,
6423 - Chi phí đồ dùng văn phòng,642 - Chi phí quản lý doanh nghiệp,6423,0,Expense Account,,Expense,
6424 - Chi phí khấu hao TSCĐ,642 - Chi phí quản lý doanh nghiệp,6424,0,Expense Account,,Expense,
"6425 - Thuế, phí và lệ phí",642 - Chi phí quản lý doanh nghiệp,6425,0,Expense Account,,Expense,
6426 - Chi phí dự phòng,642 - Chi phí quản lý doanh nghiệp,6426,0,Expense Account,,Expense,
6427 - Chi phí dịch vụ mua ngoài,642 - Chi phí quản lý doanh nghiệp,6427,0,Expense Account,,Expense,
6428 - Chi phí bằng tiền khác,642 - Chi phí quản lý doanh nghiệp,6428,0,Expense Account,,Expense,
811 - Chi phí khác,Chi phí,811,0,Expense Account,,Expense,
821 - Chi phí thuế TNDN,Chi phí,821,1,,,Expense,
8211 - Chi phí thuế TNDN hiện hành,821 - Chi phí thuế TNDN,8211,1,,,Expense,
82111 - Chi phí thuế TNDN hiện hành,8211 - Chi phí thuế TNDN hiện hành,82111,0,Tax,,Expense,
82112 - Điều chỉnh thuế TNDN hiện hành các năm trước,8211 - Chi phí thuế TNDN hiện hành,82112,0,Tax,,Expense,
8212 - Chi phí thuế TNDN hoãn lại,821 - Chi phí thuế TNDN,8212,0,Tax,,Expense,
911 - Xác định kết quả kinh doanh,Chi phí,911,0,Expense Account,,Expense,
